date,Taipei,NewTaipei
104Q1,102.77,105.94
104Q2,102.91,106.50
104Q3,102.63,105.17
104Q4,100.72,101.48
105Q1,100.68,100.08
105Q2,100.48,100.20
105Q3,100.05,100.39
105Q4,99.57,99.27
106Q1,99.52,98.29
106Q2,99.16,98.54
106Q3,99.78,99.14
106Q4,100.93,98.33
107Q1,101.48,99.46
107Q2,101.28,100.01
107Q3,102.56,100.50
107Q4,102.38,100.07
108Q1,102.30,100.11
108Q2,102.49,99.59
108Q3,102.95,100.52
108Q4,103.46,100.80
109Q1,103.70,100.61
109Q2,103.90,100.70
109Q3,105.16,102.30
109Q4,106.11,103.65
110Q1,108.03,105.55
110Q2,108.89,106.72
110Q3,110.90,108.47
110Q4,112.69,109.44
111Q1,116.13,111.53
111Q2,118.57,112.67
111Q3,120.95,113.61
111Q4,121.33,113.08
