date,Taipei,NewTaipei
111Q4,12.68,15.77
111Q3,12.96,16.20
111Q2,12.82,16.17
111Q1,12.85,16.22
110Q4,12.52,16.29
110Q3,12.13,15.86
110Q2,12.13,15.79
110Q1,12.25,15.54
109Q4,12.09,15.78
109Q3,12.16,15.29
109Q2,11.51,14.39
109Q1,11.71,13.94
108Q4,11.72,13.94
108Q3,11.66,13.73
108Q2,11.85,14.45
108Q1,12.03,14.15
107Q4,11.85,13.86
107Q3,12.14,14.07
107Q2,12.27,15.01
107Q1,12.75,15.00
106Q4,12.71,14.99
106Q3,12.48,15.12
106Q2,12.70,15.64
106Q1,12.49,15.52
105Q4,12.61,15.18
105Q3,12.70,15.47
105Q2,12.51,15.07
105Q1,12.43,14.90
104Q4,12.66,15.75
104Q3,12.54,15.63
104Q2,12.95,16.10
104Q1,13.02,16.16
