date,country
112/05,105.04
112/04,105.11
112/03,104.32
112/02,104.07
112/01,104.71
111/12,103.78
111/11,103.62
111/10,103.77
111/09,103.49
111/08,103.24
111/07,103.32
111/06,103.35
111/05,102.96
111/04,102.70
111/03,101.92
111/02,101.60
111/01,101.61
110/12,101.04
110/11,101.24
110/10,101.00
110/09,100.71
110/08,100.55
110/07,99.97
110/06,99.77
110/05,99.58
110/04,99.35
110/03,98.69
110/02,99.29
110/01,98.81
109/12,98.45
109/11,98.44
109/10,98.49
109/09,98.16
109/08,98.25
109/07,98.10
109/06,97.98
109/05,97.20
109/04,97.30
109/03,97.50
109/02,97.94
109/01,99.00
108/12,98.41
108/11,98.35
108/10,98.75
108/09,98.73
108/08,98.58
108/07,98.60
108/06,98.71
108/05,98.39
108/04,98.25
108/03,97.52
108/02,98.14
108/01,97.19
107/12,97.29
107/11,97.78
107/10,98.39
107/09,98.32
107/08,98.16
107/07,98.22
107/06,97.88
107/05,97.48
107/04,97.61
107/03,96.98
107/02,97.93
107/01,97.02
106/12,97.35
106/11,97.50
106/10,97.26
106/09,96.66
106/08,96.67
106/07,96.53
106/06,96.53
106/05,95.80
106/04,95.69
106/03,95.46
106/02,95.82
106/01,96.16
105/12,96.18
105/11,97.17
105/10,97.58
105/09,96.19
105/08,95.75
105/07,95.79
105/06,95.57
105/05,95.23
105/04,95.60
105/03,95.29
105/02,95.88
105/01,94.05
104/12,94.58
104/11,95.29
104/10,95.95
104/09,95.87
104/08,95.21
104/07,94.62
104/06,94.72
104/05,94.07
104/04,93.84
104/03,93.41
104/02,93.62
104/01,93.30
