date,country
112/05,103.53
112/04,103.38
112/03,103.25
112/02,103.09
112/01,102.99
111/12,102.73
111/11,102.53
111/10,102.31
111/09,102.20
111/08,102.11
111/07,101.86
111/06,101.65
111/05,101.39
111/04,101.16
111/03,100.91
111/02,100.74
111/01,100.59
110/12,100.50
110/11,100.43
110/10,100.27
110/09,100.10
110/08,100.01
110/07,99.80
110/06,99.80
110/05,99.86
110/04,99.94
110/03,99.91
110/02,99.76
110/01,99.62
109/12,99.50
109/11,99.41
109/10,99.38
109/09,99.32
109/08,99.25
109/07,99.20
109/06,99.12
109/05,99.06
109/04,99.03
109/03,99.03
109/02,98.96
109/01,98.90
108/12,98.75
108/11,98.58
108/10,98.52
108/09,98.49
108/08,98.42
108/07,98.34
108/06,98.26
108/05,98.21
108/04,98.10
108/03,98.04
108/02,97.96
108/01,97.89
107/12,97.76
107/11,97.72
107/10,97.70
107/09,97.65
107/08,97.61
107/07,97.51
107/06,97.43
107/05,97.34
107/04,97.15
107/03,97.11
107/02,97.03
107/01,96.98
106/12,96.92
106/11,96.88
106/10,96.84
106/09,96.78
106/08,96.71
106/07,96.59
106/06,96.55
106/05,96.47
106/04,96.43
106/03,96.39
106/02,96.29
106/01,96.20
105/12,96.12
105/11,96.03
105/10,95.97
105/09,95.90
105/08,95.83
105/07,95.73
105/06,95.66
105/05,95.55
105/04,95.48
105/03,95.44
105/02,95.40
105/01,95.35
104/12,95.28
104/11,95.26
104/10,95.17
104/09,95.16
104/08,95.06
104/07,94.99
104/06,94.89
104/05,94.80
104/04,94.76
104/03,94.68
104/02,94.66
104/01,94.50
