date,country,Taipei,NewTaipei
111Q4,40.25,53.10,66.06
111Q3,40.55,53.66,67.07
111Q2,39.62,52.41,66.12
111Q1,38.35,51.45,64.91
110Q4,37.83,50.02,65.09
110Q3,36.90,48.46,63.35
110Q2,36.27,48.48,63.11
110Q1,36.54,49.01,62.17
109Q4,36.81,48.36,63.12
109Q3,36.76,48.63,61.14
109Q2,34.64,46.04,57.57
109Q1,35.30,47.94,57.06
108Q4,35.15,48.01,57.11
108Q3,34.73,47.80,56.28
108Q2,36.06,48.59,59.25
108Q1,35.53,49.36,58.07
107Q4,35.12,48.56,56.83
107Q3,36.17,49.79,57.70
107Q2,36.90,50.32,61.56
107Q1,37.25,52.30,61.54
106Q4,37.58,52.19,61.52
106Q3,37.84,51.21,62.08
106Q2,38.90,52.19,64.29
106Q1,38.04,51.45,63.90
105Q4,38.34,51.91,62.48
105Q3,38.49,52.33,63.71
105Q2,37.14,51.81,62.39
105Q1,35.35,51.92,62.24
104Q4,35.81,53.27,66.26
104Q3,36.10,53.11,66.18
104Q2,36.36,54.16,67.34
104Q1,35.94,55.27,68.63
